GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Petstore application using Java EE 7,org.agoncal.application.petstore.view,ViewUtils,120,0,16,0,20,0,10,0,2,0
Petstore application using Java EE 7,org.agoncal.application.petstore.view,DebugBean,69,0,2,0,11,0,6,0,5,0
Petstore application using Java EE 7,org.agoncal.application.petstore.view,LocaleBean,27,0,0,0,8,0,4,0,4,0
Petstore application using Java EE 7,org.agoncal.application.petstore.view,ExceptionInterceptor,52,0,0,0,10,0,3,0,3,0
Petstore application using Java EE 7,org.agoncal.application.petstore.view.shopping,CredentialsBean,24,0,0,0,10,0,7,0,7,0
Petstore application using Java EE 7,org.agoncal.application.petstore.view.shopping,ShoppingCartBean,203,0,24,0,47,0,28,0,16,0
Petstore application using Java EE 7,org.agoncal.application.petstore.view.shopping,ShoppingCartItem,116,0,10,0,26,0,14,0,9,0
Petstore application using Java EE 7,org.agoncal.application.petstore.view.shopping,CatalogBean,94,0,0,0,30,0,19,0,19,0
Petstore application using Java EE 7,org.agoncal.application.petstore.view.shopping,AccountBean,174,0,22,0,36,0,20,0,9,0
Petstore application using Java EE 7,org.agoncal.application.petstore.exceptions,ValidationException,7,0,0,0,4,0,2,0,2,0
